,Территория,Год,НС,НС%,Больные ЗППП_ingroup,Обследованные беременные_ingroup,"Обследованные лица, находящиеся в местах лишения свободы_ingroup",Обследованные по клиническим показаниям_ingroup,Обследованные при эпидемиологическом расследовании_ingroup,Потребители инъекционных наркотиков_ingroup,Прочие контингенты_ingroup,Больные ЗППП_bwgroup,Обследованные беременные_bwgroup,"Обследованные лица, находящиеся в местах лишения свободы_bwgroup",Обследованные по клиническим показаниям_bwgroup,Обследованные при эпидемиологическом расследовании_bwgroup,Потребители инъекционных наркотиков_bwgroup,Прочие контингенты_bwgroup,М,Ж,Количество уголовных дел в сфере оборота наркотиков,ст. 6.8 КоАП России,ст. 6.9 КоАП России,Доля городского населения в общей численности населения на 1 января,Принято студентов в ВУЗы,Число новых случаев наркомании на 100 тыс.,Безработица по МОТ,Валовой региональный продукт на душу населения,Введено общей площади жилых домов,0-15 лет,15-19 лет,>= 70 лет,20-29 лет,30-39 лет,40-49 лет,50-59 лет,60-69 лет,Доля населения с доходами ниже МРОТ
160,Камчатский край,2000-01-01,7,1.91,,,,,,,,,,,,,,,187061,179339,,,,80.85,,,16.3,49108.7,,,,,,,,,,
161,Приморский край,2000-01-01,1290,60.84,,,,,,,,,,,,,,,1032648,1087819,,,,77.71,,,12.3,29139.9,,,,,,,,,,55.9
162,Хабаровский край,2000-01-01,33,2.26,,,,,,,,,,,,,,,710114,749794,,,,80.59,,,12.2,44171.2,,,,,,,,,,35.5
163,Амурская область,2000-01-01,15,1.63,,,,,,,,,,,,,,,447670,475385,,,,66.46,,,13.7,28317.2,,,,,,,,,,47.7
164,Магаданская область,2000-01-01,7,3.61,,,,,,,,,,,,,,,95909,98036,,,,90.79,,,11.0,65704.6,,,,,,,,,,30.9
165,Сахалинская область,2000-01-01,10,1.79,,,,,,,,,,,,,,,272643,287406,,,,86.49,,,13.2,61595.8,,,,,,,,,,39.6
166,Еврейская автономная область,2000-01-01,4,2.07,,,,,,,,,,,,,,,94104,99094,,,,66.92,,,15.0,19484.8,,,,,,,,,,57.3
167,Чукотский АО,2000-01-01,0,0.0,,,,,,,,,,,,,,,30156,27378,,,,66.96,,,10.3,65963.0,,,,,,,,,,50.1
169,Белгородская область,2001-01-01,44,2.92,,,,,,,,,,,,,,,693103,815034,,,,65.17,,,6.4,33126.7,,,,,,,,,,29.1
170,Брянская область,2001-01-01,285,20.48,,,,,,,,,,,,,,,636677,754753,,,,68.6,,,9.8,21511.9,,,,,,,,,,35.8
171,Владимирская область,2001-01-01,342,22.22,,,,,,,,,,,,,,,698717,840462,,,,79.8,,,10.2,27170.0,,,,,,,,,,40.7
172,Воронежская область,2001-01-01,59,2.46,,,,,,,,,,,,,,,1098266,1298845,,,,61.58,,,9.6,24905.4,,,,,,,,,,36.6
173,Ивановская область,2001-01-01,1158,99.67,,,,,,,,,,,,,,,522254,639607,,,,82.53,,,5.9,18947.2,,,,,,,,,,68.2
174,Калужская область,2001-01-01,159,15.15,,,,,,,,,,,,,,,480670,568944,,,,74.41,,,6.1,30201.9,,,,,,,,,,40.3
175,Костромская область,2001-01-01,243,32.66,,,,,,,,,,,,,,,341152,402815,,,,66.82,,,5.9,29668.3,,,,,,,,,,36.6
176,Курская область,2001-01-01,31,2.48,,,,,,,,,,,,,,,571572,677016,,,,60.78,,,10.5,28946.1,,,,,,,,,,39.5
177,Липецкая область,2001-01-01,22,1.8,,,,,,,,,,,,,,,560425,660051,,,,64.09,,,6.4,41308.6,,,,,,,,,,24.8
178,Московская область,2001-01-01,3928,59.43,,,,,,,,,,,,,,,3038927,3570225,,,,79.49,,,5.6,35569.3,,,,,,,,,,30.9
179,Орловская область,2001-01-01,250,28.82,,,,,,,,,,,,,,,396450,471103,,,,63.17,,,7.9,31676.1,,,,,,,,,,35.1
180,Рязанская область,2001-01-01,332,26.75,,,,,,,,,,,,,,,567769,673189,,,,68.48,,,10.9,29645.8,,,,,,,,,,38.3
181,Смоленская область,2001-01-01,85,7.99,,,,,,,,,,,,,,,485241,578028,,,,70.42,,,9.9,33575.4,,,,,,,,,,27.0
182,Тамбовская область,2001-01-01,92,7.71,,,,,,,,,,,,,,,546842,646539,,,,57.15,,,12.0,25830.2,,,,,,,,,,36.5
183,Тверская область,2001-01-01,775,51.96,,,,,,,,,,,,,,,672734,818717,,,,72.75,,,7.5,31209.8,,,,,,,,,,46.9
184,Тульская область,2001-01-01,919,54.25,,,,,,,,,,,,,,,765002,929006,,,,81.37,,,5.3,30988.5,,,,,,,,,,25.9
185,Ярославская область,2001-01-01,181,13.13,,,,,,,,,,,,,,,624752,753665,,,,80.62,,,6.7,44116.3,,,,,,,,,,26.8
186,г. Москва,2001-01-01,3521,34.28,,,,,,,,,,,,,,,4881440,5388460,,,,100.0,,,2.1,134435.8,,,,,,,,,,21.8
187,Республика Карелия,2001-01-01,57,7.9,,,,,,,,,,,,,,,334707,386831,,,,74.47,,,8.6,46499.2,,,,,,,,,,23.0
188,Республика Коми,2001-01-01,99,9.61,,,,,,,,,,,,,,,494900,534744,,,,75.26,,,13.8,75534.6,,,,,,,,,,21.0
189,Архангельская область без АО,2001-01-01,28,2.14,,,,,,,,,,,,,,,618327,691225,,,,,,,8.6,,,,,,,,,,,27.4
190,Ненецкий АО,2001-01-01,0,0.0,,,,,,,,,,,,,,,20160,20736,,,,62.33,,,7.0,,,,,,,,,,,26.9
191,Вологодская область,2001-01-01,282,22.06,,,,,,,,,,,,,,,593989,684554,,,,68.76,,,8.9,50934.4,,,,,,,,,,23.1
192,Калининградская область,2001-01-01,496,51.91,,,,,,,,,,,,,,,457218,498231,,,,77.57,,,8.8,33797.4,,,,,,,,,,39.1
193,Ленинградская область,2001-01-01,2195,131.23,,,,,,,,,,,,,,,773143,899542,,,,66.33,,,7.0,45248.2,,,,,,,,,,48.1
194,Мурманская область,2001-01-01,479,52.89,,,,,,,,,,,,,,,442845,462890,,,,92.27,,,13.1,62965.4,,,,,,,,,,22.3
195,Новгородская область,2001-01-01,241,34.39,,,,,,,,,,,,,,,316477,384382,,,,69.61,,,6.4,38975.3,,,,,,,,,,31.4
196,Псковская область,2001-01-01,64,8.32,,,,,,,,,,,,,,,352837,416816,,,,65.64,,,10.2,25031.4,,,,,,,,,,37.5
197,г. Санкт-Петербург,2001-01-01,9045,192.92,,,,,,,,,,,,,,,2108905,2579509,,,,100.0,,,4.0,53525.3,,,,,,,,,,23.8
198,Республика Адыгея,2001-01-01,48,10.75,,,,,,,,,,,,,,,207739,238889,,,,52.79,,,14.1,14858.6,,,,,,,,,,41.3
199,Республика Калмыкия,2001-01-01,6,2.02,,,,,,,,,,,,,,,142966,154617,,,,42.95,,,18.8,22261.8,,,,,,,,,,52.6
200,Краснодарский край,2001-01-01,524,10.21,,,,,,,,,,,,,,,2388211,2743407,,,,53.52,,,10.9,34912.4,,,,,,,,,,36.8
201,Астраханская область,2001-01-01,33,3.28,,,,,,,,,,,,,,,474073,531437,,,,67.93,,,10.4,32037.2,,,,,,,,,,31.1
202,Волгоградская область,2001-01-01,1831,67.57,,,,,,,,,,,,,,,1262403,1447207,,,,74.93,,,9.5,30513.2,,,,,,,,,,29.3
203,Ростовская область,2001-01-01,284,6.43,,,,,,,,,,,,,,,2053722,2363926,,,,67.58,,,13.1,26817.8,,,,,,,,,,30.8
204,Республика Дагестан,2001-01-01,70,2.76,,,,,,,,,,,,,,,1222894,1313183,,,,42.42,,,29.3,12562.3,,,,,,,,,,69.0
205,Республика Ингушетия,2001-01-01,164,36.0,,,,,,,,,,,,,,,214392,241127,,,,42.64,,,33.4,8000.7,,,,,,,,,,88.0
206,Кабардино-Балкарская Республика,2001-01-01,45,5.03,,,,,,,,,,,,,,,419714,474642,,,,56.57,,,17.0,21834.2,,,,,,,,,,52.3
207,Карачаево-Черкесская Республика,2001-01-01,7,1.59,,,,,,,,,,,,,,,206035,233768,,,,43.86,,,18.9,16639.7,,,,,,,,,,54.4
208,Республика Северная Осетия-Алания,2001-01-01,80,11.27,,,,,,,,,,,,,,,336211,373419,,,,66.17,,,16.7,17914.2,,,,,,,,,,40.8
209,Чеченская Республика,2001-01-01,100,9.32,,,,,,,,,,,,,,,517439,555428,,,,33.52,,,,,,,,,,,,,,
210,Ставропольский край,2001-01-01,61,2.23,,,,,,,,,,,,,,,1281050,1455123,,,,55.87,,,9.7,24780.1,,,,,,,,,,43.1
211,Республика Башкортостан,2001-01-01,2172,52.87,,,,,,,,,,,,,,,1926448,2181801,,,,64.07,,,10.7,40609.7,,,,,,,,,,28.3
212,Республика Марий Эл,2001-01-01,181,24.7,,,,,,,,,,,,,,,341409,391365,,,,62.89,,,9.3,20502.6,,,,,,,,,,58.8
213,Республика Мордовия,2001-01-01,139,15.49,,,,,,,,,,,,,,,412747,484389,,,,59.58,,,10.1,24473.2,,,,,,,,,,48.5
214,Республика Татарстан,2001-01-01,2690,71.13,,,,,,,,,,,,,,,1753456,2028411,,,,73.61,,,6.3,56479.2,,,,,,,,,,27.3
215,Удмуртская Республика,2001-01-01,837,53.04,,,,,,,,,,,,,,,731566,846621,,,,69.55,,,7.4,41407.0,,,,,,,,,,33.3
216,Чувашская Республика,2001-01-01,221,16.75,,,,,,,,,,,,,,,611512,707986,,,,60.34,,,9.5,23253.6,,,,,,,,,,44.8
217,Пермский край,2001-01-01,1742,61.4,,,,,,,,,,,,,,,1316303,1520843,,,,75.4,,,6.9,58570.7,,,,,,,,,,24.3
218,Кировская область,2001-01-01,52,3.42,,,,,,,,,,,,,,,704040,814338,,,,71.24,,,7.7,27297.1,,,,,,,,,,42.2
219,Нижегородская область,2001-01-01,930,26.16,,,,,,,,,,,,,,,1616943,1937753,,,,77.95,,,8.2,41773.2,,,,,,,,,,27.2
220,Оренбургская область,2001-01-01,3856,176.08,,,,,,,,,,,,,,,1028713,1161163,,,,57.51,,,8.3,38769.3,,,,,,,,,,38.1
221,Пензенская область,2001-01-01,286,19.51,,,,,,,,,,,,,,,671661,794554,,,,64.77,,,13.7,22547.8,,,,,,,,,,43.7
222,Самарская область,2001-01-01,7994,245.66,,,,,,,,,,,,,,,1504893,1749162,,,,80.54,,,6.1,55147.0,,,,,,,,,,29.8
223,Саратовская область,2001-01-01,1993,74.31,,,,,,,,,,,,,,,1239684,1442370,,,,73.31,,,9.7,31094.4,,,,,,,,,,38.7
224,Ульяновская область,2001-01-01,1738,124.51,,,,,,,,,,,,,,,645625,750257,,,,73.01,,,8.6,27453.2,,,,,,,,,,45.2
225,Курганская область,2001-01-01,689,66.84,,,,,,,,,,,,,,,476519,554229,,,,56.29,,,13.1,24429.3,,,,,,,,,,48.4
226,Свердловская область,2001-01-01,9337,206.84,,,,,,,,,,,,,,,2088080,2426004,,,,87.8,,,7.8,44119.0,,,,,,,,,,27.7
227,Тюменская область без АО,2001-01-01,1820,136.18,,,,,,,,,,,,,,,630361,706135,,,,,,,11.0,,,,,,,,,,,15.4
228,Ханты-Мансийский АО-Югра,2001-01-01,2988,211.63,,,,,,,,,,,,,,,704032,707835,,,,91.16,,,11.3,,,,,,,,,,,9.3
229,Ямало-Ненецкий АО,2001-01-01,291,57.84,,,,,,,,,,,,,,,253500,249621,,,,83.3,,,7.1,,,,,,,,,,,9.3
230,Челябинская область,2001-01-01,5109,141.08,,,,,,,,,,,,,,,1678962,1942464,,,,81.58,,,8.8,39216.5,,,,,,,,,,34.3
231,Республика Алтай,2001-01-01,12,5.91,,,,,,,,,,,,,,,96579,106366,,,,26.12,,,9.6,22164.4,,,,,,,,,,54.3
232,Республика Бурятия,2001-01-01,625,63.3,,,,,,,,,,,,,,,471926,515363,,,,59.83,,,18.4,30314.6,,,,,,,,,,48.6
233,Республика Тыва,2001-01-01,7,2.29,,,,,,,,,,,,,,,145326,159890,,,,50.44,,,23.8,17012.1,,,,,,,,,,65.2
234,Республика Хакасия,2001-01-01,32,5.82,,,,,,,,,,,,,,,257357,292132,,,,71.02,,,8.9,36306.2,,,,,,,,,,37.5
235,Алтайский край,2001-01-01,1299,49.56,,,,,,,,,,,,,,,1223776,1397274,,,,52.8,,,10.0,23509.0,,,,,,,,,,47.3
236,Забайкальский край,2001-01-01,573,49.17,,,,,,,,,,,,,,,564451,600984,,,,63.65,,,16.2,29979.7,,,,,,,,,,55.3
237,Красноярский край,2001-01-01,2338,78.41,,,,,,,,,,,,,,,1406758,1574988,,,,75.35,,,9.7,80038.8,,,,,,,,,,24.6
238,Иркутская область,2001-01-01,3398,130.71,,,,,,,,,,,,,,,1221037,1378638,,,,79.32,,,11.2,46044.3,,,,,,,,,,36.6
239,Кемеровская область,2001-01-01,2223,76.19,,,,,,,,,,,,,,,1360635,1557134,,,,86.52,,,9.9,38839.7,,,,,,,,,,25.4
240,Новосибирская область,2001-01-01,178,6.59,,,,,,,,,,,,,,,1256227,1446785,,,,74.76,,,12.4,35177.3,,,,,,,,,,46.5
241,Омская область,2001-01-01,66,3.15,,,,,,,,,,,,,,,975651,1119084,,,,68.34,,,10.0,29219.2,,,,,,,,,,30.2
242,Томская область,2001-01-01,287,27.34,,,,,,,,,,,,,,,496528,553242,,,,67.32,,,9.9,54221.6,,,,,,,,,,26.2
243,Республика Саха (Якутия),2001-01-01,72,7.57,,,,,,,,,,,,,,,466011,485467,,,,64.19,,,8.2,105733.3,,,,,,,,,,26.4
244,Камчатский край,2001-01-01,14,3.87,,,,,,,,,,,,,,,184379,177267,,,,80.96,,,14.5,63274.0,,,,,,,,,,
245,Приморский край,2001-01-01,1737,83.28,,,,,,,,,,,,,,,1012417,1073326,,,,77.73,,,8.7,34628.0,,,,,,,,,,52.1
246,Хабаровский край,2001-01-01,152,10.51,,,,,,,,,,,,,,,700829,745348,,,,80.59,,,10.5,54983.9,,,,,,,,,,32.1
247,Амурская область,2001-01-01,29,3.18,,,,,,,,,,,,,,,440616,470765,,,,66.63,,,12.3,42578.3,,,,,,,,,,45.3
248,Магаданская область,2001-01-01,4,2.14,,,,,,,,,,,,,,,92252,94966,,,,91.44,,,11.4,89987.5,,,,,,,,,,25.5
249,Сахалинская область,2001-01-01,18,3.26,,,,,,,,,,,,,,,268199,283956,,,,86.68,,,12.1,84769.1,,,,,,,,,,37.1
250,Еврейская автономная область,2001-01-01,4,2.08,,,,,,,,,,,,,,,93274,98625,,,,67.04,,,9.4,24877.5,,,,,,,,,,51.1
251,Чукотский АО,2001-01-01,0,0.0,,,,,,,,,,,,,,,28942,26367,,,,66.38,,,7.4,123130.9,,,,,,,,,,32.8
253,Белгородская область,2002-01-01,52,3.44,,,,,,,,,,,,,,,693516,818383,,,,65.23,,,8.1,41327.4,,,,,,,,,,25.4
254,Брянская область,2002-01-01,125,9.09,,,,,,,,,,,,,,,627570,747434,,,,68.82,,,8.6,27020.0,,,,,,,,,,31.2
255,Владимирская область,2002-01-01,240,15.79,,,,,,,,,,,,,,,687855,832202,,,,79.7,,,10.4,32923.6,,,,,,,,,,35.3
256,Воронежская область,2002-01-01,66,2.78,,,,,,,,,,,,,,,1086178,1288283,,,,61.79,,,8.9,34789.6,,,,,,,,,,33.8
257,Ивановская область,2002-01-01,518,45.26,,,,,,,,,,,,,,,513062,631478,,,,82.62,,,6.9,23396.9,,,,,,,,,,60.8
258,Калужская область,2002-01-01,103,9.92,,,,,,,,,,,,,,,474403,564211,,,,74.63,,,6.6,35708.4,,,,,,,,,,35.0
259,Костромская область,2002-01-01,251,34.18,,,,,,,,,,,,,,,335975,398478,,,,67.12,,,5.0,35109.5,,,,,,,,,,35.5
260,Курская область,2002-01-01,28,2.27,,,,,,,,,,,,,,,562284,668813,,,,61.06,,,7.1,36545.7,,,,,,,,,,33.7
261,Липецкая область,2002-01-01,19,1.57,,,,,,,,,,,,,,,554912,656096,,,,64.14,,,4.9,58065.7,,,,,,,,,,25.8
262,Московская область,2002-01-01,2827,42.72,,,,,,,,,,,,,,,3039114,3577765,,,,79.36,,,4.4,47323.5,,,,,,,,,,27.4
263,Орловская область,2002-01-01,116,13.51,,,,,,,,,,,,,,,391228,467084,,,,63.38,,,6.7,41322.8,,,,,,,,,,30.6
264,Рязанская область,2002-01-01,192,15.69,,,,,,,,,,,,,,,558782,664956,,,,68.73,,,8.1,37164.2,,,,,,,,,,31.3
265,Смоленская область,2002-01-01,91,8.7,,,,,,,,,,,,,,,475366,570512,,,,70.66,,,11.1,39983.1,,,,,,,,,,25.2
266,Тамбовская область,2002-01-01,106,9.03,,,,,,,,,,,,,,,537110,637123,,,,57.19,,,9.5,32858.4,,,,,,,,,,27.2
267,Тверская область,2002-01-01,579,39.51,,,,,,,,,,,,,,,659248,806320,,,,73.02,,,4.7,37695.3,,,,,,,,,,38.7
268,Тульская область,2002-01-01,351,21.02,,,,,,,,,,,,,,,751911,917881,,,,81.46,,,6.1,38894.3,,,,,,,,,,21.8
269,Ярославская область,2002-01-01,108,7.92,,,,,,,,,,,,,,,616204,748170,,,,80.8,,,3.8,54917.2,,,,,,,,,,21.4
270,г. Москва,2002-01-01,3002,28.9,,,,,,,,,,,,,,,4954435,5432468,,,,100.0,,,1.4,171127.8,,,,,,,,,,20.7
271,Республика Карелия,2002-01-01,36,5.03,,,,,,,,,,,,,,,330857,384356,,,,74.81,,,7.8,57575.7,,,,,,,,,,18.8
272,Республика Коми,2002-01-01,183,18.01,,,,,,,,,,,,,,,486903,529137,,,,75.27,,,9.2,84101.9,,,,,,,,,,19.4
273,Архангельская область без АО,2002-01-01,34,2.63,,,,,,,,,,,,,,,607141,683815,,,,,,,8.1,,,,,,,,,,,26.5
274,Ненецкий АО,2002-01-01,0,0.0,,,,,,,,,,,,,,,20631,21068,,,,62.75,,,7.3,,,,,,,,,,,21.5
275,Вологодская область,2002-01-01,173,13.66,,,,,,,,,,,,,,,587057,679791,,,,68.91,,,6.0,63433.6,,,,,,,,,,22.8
276,Калининградская область,2002-01-01,403,42.24,,,,,,,,,,,,,,,455239,498854,,,,77.62,,,7.2,42019.6,,,,,,,,,,39.6
277,Ленинградская область,2002-01-01,1870,112.17,,,,,,,,,,,,,,,769085,898065,,,,66.37,,,7.0,56738.1,,,,,,,,,,42.1
278,Мурманская область,2002-01-01,312,35.06,,,,,,,,,,,,,,,433534,456275,,,,92.26,,,10.3,76236.9,,,,,,,,,,22.6
279,Новгородская область,2002-01-01,164,23.69,,,,,,,,,,,,,,,311413,380725,,,,69.73,,,6.3,45178.5,,,,,,,,,,30.8
280,Псковская область,2002-01-01,50,6.6,,,,,,,,,,,,,,,346783,411336,,,,65.89,,,8.1,31547.3,,,,,,,,,,27.5
281,г. Санкт-Петербург,2002-01-01,4635,99.54,,,,,,,,,,,,,,,2092770,2563704,,,,100.0,,,3.4,72059.8,,,,,,,,,,21.2
282,Республика Адыгея,2002-01-01,23,5.15,,,,,,,,,,,,,,,207885,238943,,,,52.69,,,13.5,17707.5,,,,,,,,,,34.6
283,Республика Калмыкия,2002-01-01,7,2.4,,,,,,,,,,,,,,,139764,152086,,,,43.68,,,18.0,24676.8,,,,,,,,,,56.6
284,Краснодарский край,2002-01-01,538,10.51,,,,,,,,,,,,,,,2380183,2739674,,,,53.52,,,7.6,42477.6,,,,,,,,,,32.0
285,Астраханская область,2002-01-01,36,3.58,,,,,,,,,,,,,,,472406,532374,,,,67.57,,,10.9,40786.8,,,,,,,,,,26.2
286,Волгоградская область,2002-01-01,981,36.41,,,,,,,,,,,,,,,1252734,1441498,,,,75.08,,,8.4,38617.7,,,,,,,,,,26.8
287,Ростовская область,2002-01-01,234,5.32,,,,,,,,,,,,,,,2041236,2355436,,,,67.6,,,11.4,31941.7,,,,,,,,,,27.9
288,Республика Дагестан,2002-01-01,38,1.47,,,,,,,,,,,,,,,1244610,1336802,,,,42.63,,,24.1,16195.5,,,,,,,,,,59.7
289,Республика Ингушетия,2002-01-01,84,17.92,,,,,,,,,,,,,,,218879,249894,,,,42.57,,,43.7,7751.7,,,,,,,,,,87.4
290,Кабардино-Балкарская Республика,2002-01-01,41,4.55,,,,,,,,,,,,,,,422427,478624,,,,56.59,,,19.1,25369.9,,,,,,,,,,36.6
291,Карачаево-Черкесская Республика,2002-01-01,10,2.28,,,,,,,,,,,,,,,205115,233738,,,,43.93,,,12.1,23297.3,,,,,,,,,,40.9
292,Республика Северная Осетия-Алания,2002-01-01,78,10.99,,,,,,,,,,,,,,,335712,373959,,,,65.7,,,12.6,22541.2,,,,,,,,,,36.0
293,Чеченская Республика,2002-01-01,123,11.13,,,,,,,,,,,,,,,533367,572011,,,,33.77,,,,,,,,,,,,,,
294,Ставропольский край,2002-01-01,50,1.83,,,,,,,,,,,,,,,1278353,1454149,,,,55.93,,,9.7,29453.4,,,,,,,,,,39.4
295,Республика Башкортостан,2002-01-01,1264,30.81,,,,,,,,,,,,,,,1922026,2180248,,,,64.06,,,8.3,45756.0,,,,,,,,,,23.2
296,Республика Марий Эл,2002-01-01,103,14.17,,,,,,,,,,,,,,,337764,388966,,,,63.04,,,13.6,24411.2,,,,,,,,,,52.5
297,Республика Мордовия,2002-01-01,93,10.49,,,,,,,,,,,,,,,407316,478849,,,,59.67,,,9.4,30848.9,,,,,,,,,,43.7
298,Республика Татарстан,2002-01-01,1104,29.22,,,,,,,,,,,,,,,1747903,2029764,,,,73.79,,,5.3,66298.7,,,,,,,,,,23.6
299,Удмуртская Республика,2002-01-01,508,32.39,,,,,,,,,,,,,,,725859,842317,,,,69.67,,,7.9,49800.6,,,,,,,,,,30.4
300,Чувашская Республика,2002-01-01,104,7.93,,,,,,,,,,,,,,,607768,703969,,,,60.52,,,9.4,28261.3,,,,,,,,,,40.9
301,Пермский край,2002-01-01,1059,37.64,,,,,,,,,,,,,,,1302490,1511280,,,,75.28,,,9.1,63032.2,,,,,,,,,,23.4
302,Кировская область,2002-01-01,31,2.07,,,,,,,,,,,,,,,693402,805574,,,,71.56,,,6.8,33124.0,,,,,,,,,,34.5
303,Нижегородская область,2002-01-01,592,16.84,,,,,,,,,,,,,,,1596159,1919514,,,,78.07,,,7.8,48321.6,,,,,,,,,,22.8
304,Оренбургская область,2002-01-01,2224,102.21,,,,,,,,,,,,,,,1020118,1155882,,,,57.78,,,10.3,43145.6,,,,,,,,,,33.3
305,Пензенская область,2002-01-01,202,13.94,,,,,,,,,,,,,,,662572,786661,,,,64.94,,,7.3,28554.2,,,,,,,,,,37.6
306,Самарская область,2002-01-01,3843,118.77,,,,,,,,,,,,,,,1494078,1741621,,,,80.58,,,5.4,63582.9,,,,,,,,,,27.7
307,Саратовская область,2002-01-01,895,33.6,,,,,,,,,,,,,,,1226404,1437077,,,,73.48,,,7.6,36413.6,,,,,,,,,,34.4
308,Ульяновская область,2002-01-01,860,62.37,,,,,,,,,,,,,,,635783,743148,,,,73.1,,,6.1,32922.8,,,,,,,,,,40.7
309,Курганская область,2002-01-01,344,33.85,,,,,,,,,,,,,,,468929,547255,,,,56.36,,,10.7,29253.3,,,,,,,,,,45.2
310,Свердловская область,2002-01-01,4689,104.72,,,,,,,,,,,,,,,2066965,2410587,,,,87.88,,,8.5,52241.3,,,,,,,,,,24.3
311,Тюменская область без АО,2002-01-01,1005,75.93,,,,,,,,,,,,,,,620739,702794,,,,,,,7.8,,,,,,,,,,,15.8
312,Ханты-Мансийский АО-Югра,2002-01-01,1314,91.39,,,,,,,,,,,,,,,714597,723132,,,,90.93,,,10.1,,,,,,,,,,,11.6
313,Ямало-Ненецкий АО,2002-01-01,159,31.26,,,,,,,,,,,,,,,255514,253086,,,,83.32,,,6.8,,,,,,,,,,,7.7
314,Челябинская область,2002-01-01,2083,57.9,,,,,,,,,,,,,,,1663298,1934361,,,,81.73,,,6.5,47775.7,,,,,,,,,,29.7
315,Республика Алтай,2002-01-01,11,5.42,,,,,,,,,,,,,,,96619,106419,,,,26.52,,,11.3,26160.6,,,,,,,,,,39.3
316,Республика Бурятия,2002-01-01,330,33.69,,,,,,,,,,,,,,,467016,512589,,,,59.66,,,15.4,38524.0,,,,,,,,,,37.2
317,Республика Тыва,2002-01-01,1,0.33,,,,,,,,,,,,,,,144955,160538,,,,51.04,,,20.3,22421.0,,,,,,,,,,48.2
318,Республика Хакасия,2002-01-01,19,3.48,,,,,,,,,,,,,,,254353,290845,,,,70.88,,,8.0,46443.7,,,,,,,,,,31.8
319,Алтайский край,2002-01-01,489,18.79,,,,,,,,,,,,,,,1212517,1390078,,,,53.06,,,8.3,27991.2,,,,,,,,,,38.9
320,Забайкальский край,2002-01-01,327,28.37,,,,,,,,,,,,,,,557015,595581,,,,63.82,,,11.1,38443.3,,,,,,,,,,44.6
321,Красноярский край,2002-01-01,1036,34.98,,,,,,,,,,,,,,,1393329,1568542,,,,75.57,,,7.8,77729.0,,,,,,,,,,25.6
322,Иркутская область,2002-01-01,2442,94.74,,,,,,,,,,,,,,,1206669,1371033,,,,79.34,,,11.1,54156.9,,,,,,,,,,31.9
323,Кемеровская область,2002-01-01,1301,44.96,,,,,,,,,,,,,,,1344561,1548887,,,,86.68,,,9.3,46860.1,,,,,,,,,,23.0
324,Новосибирская область,2002-01-01,230,8.56,,,,,,,,,,,,,,,1246915,1441508,,,,74.97,,,11.4,45659.6,,,,,,,,,,39.4
325,Омская область,2002-01-01,69,3.32,,,,,,,,,,,,,,,963786,1111636,,,,68.58,,,9.5,44424.1,,,,,,,,,,24.3
326,Томская область,2002-01-01,119,11.38,,,,,,,,,,,,,,,492962,552577,,,,67.59,,,11.2,72107.4,,,,,,,,,,22.5
327,Республика Саха (Якутия),2002-01-01,44,4.64,,,,,,,,,,,,,,,463670,484966,,,,64.31,,,7.1,121163.1,,,,,,,,,,22.3
328,Камчатский край,2002-01-01,6,1.68,,,,,,,,,,,,,,,182228,175689,,,,81.0,,,11.6,71934.1,,,,,,,,,,34.3
329,Приморский край,2002-01-01,1068,51.66,,,,,,,,,,,,,,,1000448,1066894,,,,78.29,,,9.1,46632.5,,,,,,,,,,46.9
330,Хабаровский край,2002-01-01,230,16.04,,,,,,,,,,,,,,,692645,741597,,,,80.59,,,7.0,70162.9,,,,,,,,,,26.5
331,Амурская область,2002-01-01,26,2.89,,,,,,,,,,,,,,,434443,466601,,,,65.92,,,10.7,50449.6,,,,,,,,,,44.6
332,Магаданская область,2002-01-01,8,4.4,,,,,,,,,,,,,,,89201,92631,,,,91.95,,,8.2,121272.5,,,,,,,,,,20.8
333,Сахалинская область,2002-01-01,23,4.22,,,,,,,,,,,,,,,263988,281020,,,,86.73,,,9.4,85927.4,,,,,,,,,,31.0
334,Еврейская автономная область,2002-01-01,4,2.1,,,,,,,,,,,,,,,92465,98120,,,,67.19,,,9.1,35766.0,,,,,,,,,,38.4
335,Чукотский АО,2002-01-01,2,3.76,,,,,,,,,,,,,,,27956,25181,,,,66.44,,,4.5,187368.1,,,,,,,,,,28.6
337,Белгородская область,2003-01-01,42,2.77,,,,,,,,,,,,,,,694806,819054,,,,65.25,,,8.3,50271.4,,,,,,,,,,22.9
338,Брянская область,2003-01-01,93,6.84,,,,,,,,,,,,,,,621180,739069,,,,68.53,,,7.4,31953.4,,,,,,,,,,26.7
339,Владимирская область,2003-01-01,176,11.66,,,,,,,,,,,,,,,681100,828471,,,,79.68,,,10.2,40809.4,,,,,,,,,,30.3
340,Воронежская область,2003-01-01,55,2.32,,,,,,,,,,,,,,,1082146,1285311,,,,61.96,,,8.3,42237.5,,,,,,,,,,28.9
341,Ивановская область,2003-01-01,384,33.95,,,,,,,,,,,,,,,505600,625427,,,,82.7,,,6.5,29192.4,,,,,,,,,,53.3
342,Калужская область,2003-01-01,85,8.24,,,,,,,,,,,,,,,471177,560478,,,,74.89,,,6.1,47136.5,,,,,,,,,,29.6
343,Костромская область,2003-01-01,142,19.64,,,,,,,,,,,,,,,330187,392955,,,,67.45,,,6.1,40741.1,,,,,,,,,,33.1
